INSTITUICAO_ENSINO_ALUNO_2020,IDADE_ALUNO_2020,ANOS_PM_2020,FASE_TURMA_2020,PONTO_VIRADA_2020,INDE_2020,INDE_CONCEITO_2020,PEDRA_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020,FASE_2021,INSTITUICAO_ENSINO_ALUNO_2021,PEDRA_2021,INDE_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,PONTO_VIRADA_2021,IPV_2021,IAN_2021,FASE_2022,INDE_2022,PEDRA_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,IPP_2022,PONTO_VIRADA_2022,IPV_2022,IAN_2022
Escola Pública,13,2,1G,Não,7.766252,B,Ametista,9.500020000000001,6.8,7.5,10,6.5625,7.75,5,1.0,Escola Pública,Ágata,6140,9.5,4.2,7.5,2.6,8.4,Não,8.8,5.0,1.0,6.723325934837093,Ágata,9.50002,6.647869674185464,7.5,5.5,5.9375,Não,7.5,5.0
Escola Pública,14,3,3E,Não,7.2055576666666665,C,Ágata,9.58335,7,7.5,6.5,7.083333333333334,7.944446666666665,5,4.0,Escola Pública,Ágata,5666,10.0,3.3,6.3,5.3,7.7,Não,5.2,5.0,4.0,5.845721955648926,Quartzo,0.0,6.287640056022409,8125,5.222222222222222,7.8125,Não,7.2499975,5.0
Rede Decisão/União,13,2,3J,Sim,9.354725666666667,A,Topázio,9.58335,9.6,6875,9,10,9.944453333333334,10,4.0,Rede Decisão,Topázio,9079,8.3,9.2,7.5,8.8,9.4,Sim,9.9,10.0,,,,,,,,,,,
Escola Pública,7,0,0C,Não,7.125001,C,Ágata,7.9166799999999995,10,7.5,4.75,2.5,6.916665,10,,,,,,,,,,,,,0.0,8.083535682039548,Topázio,10.00002,9.005163410197735,7.5,9.1,5625,Não,8.250005,5.0
Escola Pública,13,0,3E,Não,7.013888333333334,C,Ágata,6.66667,4.5,7.5,8.666666666666666,7.083333333333334,6.277773333333332,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,12,2,2C,Não,7.698890666666667,B,Ametista,8.500020000000001,9.3,6875,7,8125,7.944443333333334,5,2.0,Escola Pública,Ágata,6129,6.9,2.9,7.5,5.5,7.7,Não,8.7,5.0,3.0,6.666787745731961,Ágata,7.5,7.056167617548691,7.5,6.111111111111111,7.5,Não,6.41666,5.0
Escola Pública,18,3,7B,Não,6.64396,C,Ágata,8.75001,6.1,6.25,5,7.65625,8.29167,5,7.0,Escola Pública,Topázio,8416,9.2,9.4,7.5,8.2,8.4,Sim,9.4,5.0,,,,,,,,,,,
Escola Pública,14,1,3C,Não,8.307780333333334,B,Ametista,9.58335,9.9,7.5,8,8.749999999999998,8.222226666666668,5,3.0,Escola Pública,Ágata,6246,8.3,6.4,3.8,4.7,7.3,Não,7.9,5.0,4.0,6.854039584291188,Ágata,5.83333,8.074712643678161,6.25,5.877777777777777,7.96875,Não,7.7916675,5.0
Escola Pública,10,2,2N,Não,6.6788913333333335,C,Ágata,10.000020000000001,7.7,4375,2.5,6.458333333333333,7.77778,10,2.0,Escola Pública,Ágata,6154,0.0,5.4,6.9,6.5,7.5,Não,6.7,10.0,2.0,7.55554175568551,Ametista,8.500020000000001,9.041585445094215,7.5,7.333333333333333,6.25,Não,7.777779999999999,5.0
Escola Pública,13,3,3F,Não,8.131388333333334,B,Ametista,6.24999,9.4,7.5,8.333333333333334,8.541666666666666,6.777780000000001,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,11,0,1D,Não,7.460002,B,Ametista,8.000020000000001,8.3,7.5,7.25,7.5,7.75,5,2.0,Escola Pública,Ágata,6100,0.0,5.0,7.5,6.8,7.5,Não,8.8,5.0,,,,,,,,,,,
Escola Pública,13,2,4F,Não,7.8052090000000005,B,Ametista,7.5,7.5,7.5,7,7.96875,8.04167,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,9,0,1M,Não,6.218335,C,Ágata,9.000020000000001,6.8,7.5,0,6.25,7.916665,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,11,1,1G,Não,6.631252,C,Ágata,8.500020000000001,1,7.5,10,7.8125,7.75,5,,,,,,,,,,,,,2.0,6.730556,Ágata,7.916679999999999,9.166666666666666,6.25,5.0,6.25,Não,6.777773333333332,5.0
Escola Pública,8,0,0C,Não,6.966669,C,Ágata,9.500020000000001,10,7.5,0,7.5,7.583335,10,0.0,Escola Pública,Topázio,8471,8.5,10.0,7.5,6.9,8.1,Não,8.4,10.0,1.0,7.398436561403509,Ametista,8.500020000000001,9.082456140350876,7.5,5.0,6.041666666666667,Não,6.888883333333333,10.0
Escola Pública,8,1,0D,Não,8.955835,A,Topázio,9.500020000000001,9.8,7.5,10,8125,7.416665,10,1.0,Escola Pública,Ametista,8051,9.0,9.2,7.5,5.4,7.7,Não,8.6,10.0,1.0,6.953190321839081,Ágata,9.000020000000001,9.203448275862067,7.5,5.083333333333334,5625,Não,6.91666,5.0
Escola Pública,10,2,2F,Não,8.181112666666667,B,Ametista,10.000020000000001,8.6,6.25,7,7.916666666666668,8.22222,10,,,,,,,,,,,,,,,,,,,,,,,
Einstein,15,4,5X,,8.696667999999999,A,Topázio,9.16668,10,7.5,8.2,0,0,10,,,,,,,,,,,,,,,,,,,,,,,
Rede Decisão/União,17,3,6C,Sim,6.878125166666666,C,Ágata,0,9,7.5,6.333333333333333,8.28125,8.666667499999999,5,7.0,Rede Decisão,Ametista,8219,9.6,8.9,8.1,7.6,8.1,Sim,9.2,5.0,,,,,,,,,,,
Rede Decisão/União,16,2,6B,Não,7.311667166666667,B,Ametista,8.33334,7.1,6.25,5.833333333333333,7.5,7.5833325,10,7.0,Rede Decisão,Ametista,7213,8.3,6.9,6.3,6.0,7.7,Não,7.0,10.0,,,,,,,,,,,
Escola Pública,13,0,3E,Não,6.563055666666668,C,Ágata,8.75001,3.6,7.5,6,7.291666666666667,6.444439999999998,10,,,,,,,,,,,,,,,,,,,,,,,
Rede Decisão/União,17,4,5F,Não,7.679582333333333,B,Ametista,7.5,9.7,6875,6.666666666666667,8.4375,8.124995,5,6.0,Rede Decisão,Ametista,6956,7.9,7.5,6.9,6.1,7.2,Não,7.7,5.0,7.0,5.783132947712418,Quartzo,8.33334,4.129901960784314,5625,4.044444444444444,7.96875,Não,7.277773333333332,5.0
Escola Pública,10,0,1N,Não,5.604168666666667,D,Quartzo,9.000020000000001,6.5,7.5,0,6875,7.333333333333333,5,1.0,Escola Pública,Quartzo,3017,0.0,1.3,5.6,0.0,6.9,Não,5.1,5.0,2.0,6.410355757575758,Ágata,10.00002,7.787878787878788,7.5,2.5,6.25,Não,7.38889,5.0
Escola Pública,12,0,2L,Não,6.330001333333334,C,Ágata,7.9166799999999995,6.9,7.5,3.5,7.083333333333333,7.5,5,2.0,Escola Pública,Ágata,5704,8.5,4.6,7.5,3.1,8.1,Não,6.2,5.0,,,,,,,,,,,
Escola Pública,10,0,1F,Não,5.988752,D,Quartzo,9.000020000000001,7.6,7.5,0,7.1875,8,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,10,1,0A,Não,7.550001,B,Ametista,8.500020000000001,10,5,9.5,2.5,7.749995,5,0.0,Escola Pública,#NULO!,#NULO!,7.4,0.0,5.0,3.6,0.0,#NULO!,0.0,5.0,,,,,,,,,,,
Rede Decisão/União,11,1,3L,Sim,9.687504,A,Topázio,10.000020000000001,10,10,9,9375,9.75001,10,4.0,Rede Decisão,Topázio,9108,10.0,9.2,7.5,8.5,8.8,Sim,9.7,10.0,5.0,9.441521857142858,Topázio,10.00002,9.660714285714286,9375,8.5,9.21875,Sim,9.75001,10.0
Escola Pública,7,0,0B,Não,8.958334,A,Topázio,8.91668,10,10,10,7.5,6.58333,10,1.0,Escola Pública,Topázio,8869,10.0,10.0,7.5,7.6,7.5,Sim,9.2,10.0,1.0,8.306175283950617,Topázio,10.00002,9.419753086419751,7.5,7.166666666666666,5.833333333333334,Não,8.27778,10.0
Escola Pública,10,3,1A,Não,7.352085,B,Ametista,9.500020000000001,9,7.5,5.5,7.1875,7.666665,5,1.0,Escola Pública,Ágata,6339,8.9,9.2,7.5,2.6,7.3,Não,5.6,5.0,1.0,7.604387307346327,Ametista,6.91668,9.480259870064968,7.5,7.666666666666666,6.666666666666666,Não,7.833336666666667,5.0
Escola Pública,10,1,2N,Não,6.499723333333334,C,Ágata,6.9166799999999995,9.2,7.5,0,7.291666666666667,7.444443333333333,10,,,,,,,,,,,,,2.0,6.580093259259259,Ágata,6.83334,9.296296296296296,5625,4.25,6.25,Não,7.5,5.0
Escola Pública,15,1,4L,Sim,7.386391000000001,B,Ametista,5.41667,8.8,7.5,6,8125,9.11112,5,5.0,Rede Decisão,Ágata,6188,6.3,5.8,2.5,6.5,8.1,Não,7.7,5.0,6.0,7.474202506556246,Ametista,8.33334,7.402950310559007,8125,6.655555555555555,7.5,Sim,8.833336666666666,5.0
Escola Pública,9,0,0D,Não,7.954169,B,Ametista,8.500020000000001,10,7.5,8.5,6875,7.333335,5,,,,,,,,,,,,,,,,,,,,,,,
Rede Decisão/União,14,4,4B,Sim,8.155003333333333,B,Ametista,9.16668,9.4,5625,5.333333333333333,8.958333333333332,9.166676666666666,10,5.0,Rede Decisão,Ágata,5987,6.7,6.4,3.8,3.0,7.3,Não,6.7,10.0,5.0,7.202977523809524,Ametista,7.91667,7.819047619047619,7.5,6.8,6875,Não,7.750005,5.0
Escola Pública,8,0,0B,Não,8.750001000000001,A,Topázio,9.000020000000001,10,10,8.5,7.5,6.999995,10,1.0,Escola Pública,Ametista,7867,3.5,10.0,7.5,6.8,7.5,Não,8.3,10.0,1.0,7.502401434343434,Ametista,9.000020000000001,8.838383838383837,7.5,6.25,6.458333333333334,Sim,8.444446666666666,5.0
Escola Pública,9,1,0D,Não,7.263334,C,Ágata,9.500020000000001,9.9,2.5,10,2.5,6.66666,5,0.0,Escola Pública,Ágata,6652,9.5,6.7,6.3,6.9,4.7,Não,7.0,5.0,1.0,7.744553615384616,Ametista,9.50002,9.743589743589745,5.0,7.583333333333333,5625,Sim,8.833335,5.0
Escola Pública,17,1,6A,Não,5.688333833333334,D,Quartzo,8.33334,4.9,7.5,3.6666666666666665,7.5,5.7083325,5,,,,,,,,,,,,,,,,,,,,,,,
Rede Decisão/União,14,4,4L,Sim,8.188612666666666,B,Ametista,8.33334,9.2,5625,6.666666666666667,8.749999999999998,8.722226666666666,10,5.0,Rede Decisão,Ametista,8004,7.9,7.8,7.5,7.8,8.1,Não,7.7,10.0,5.0,6.644810737664296,Ágata,9.16668,5.652169521654815,5625,6.566666666666667,7.96875,Não,7.1250025,5.0
Rede Decisão/União,11,2,2D,Sim,9.040420000000001,A,Topázio,10.000020000000001,9.4,7.5,9.5,5.9375,9.58334,10,2.0,Rede Decisão,Ametista,8096,9.5,9.6,6.3,7.4,8.1,Sim,9.1,5.0,3.0,8.427269800194932,Topázio,9.58335,9.11793372319688,5625,6.877777777777777,8.90625,Sim,9.0833375,10.0
Escola Pública,9,1,0G,Não,7.937502,B,Ametista,10.000020000000001,10,7.5,7.5,6875,7.5,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,14,1,3M,Não,7.073542833333333,C,Ágata,8.33334,5.8,7.5,7.666666666666667,7.96875,7.5000025,5,4.0,Escola Pública,Ágata,5994,7.1,5.0,7.5,4.6,7.2,Não,7.0,5.0,5.0,5.195056982905983,Quartzo,5.833320000000001,3.004807692307692,7.5,3.555555555555556,6.71875,Não,6.888886666666665,5.0
Escola Pública,10,2,2H,Não,6.846668,C,Ágata,9.000020000000001,6.4,6875,4.5,5625,7.58333,10,2.0,Escola Pública,Quartzo,4200,9.5,0.0,7.5,2.2,5.6,Não,2.5,10.0,2.0,7.412884468772608,Ametista,8.500020000000001,7.918575677196368,7.5,7.916666666666667,6.458333333333334,Não,7.500003333333334,5.0
Escola Pública,12,1,3B,Não,6.7552085,C,Ágata,7.08333,6,7.5,4,7.96875,7.5000025,10,4.0,Escola Pública,Ágata,5923,7.5,3.6,7.5,4.6,7.3,Não,5.2,10.0,,,,,,,,,,,
Escola Pública,15,1,3A,Não,7.336876333333333,B,Ametista,9.58335,8.2,7.5,6.666666666666667,7.96875,6.791665,5,4.0,Escola Pública,Quartzo,4957,8.3,5.6,7.5,1.3,6.9,Não,4.1,5.0,,,,,,,,,,,
Escola Pública,18,1,7A,Sim,6.432500999999999,C,Ágata,9.16668,6.1,6875,3,7.5,8.791664999999998,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,12,2,2D,Não,7.393752,B,Ametista,9.500020000000001,8,7.5,6,8.4375,7.75,5,2.0,Escola Pública,Ágata,6317,8.0,5.8,7.5,5.8,7.5,Não,6.0,5.0,3.0,7.501754052631579,Ametista,7.91667,8.467105263157894,7.5,7.0,7.5,Não,5.58333,10.0
Escola Pública,12,2,1M,Não,6.908335000000001,C,Ágata,9.000020000000001,6.5,4375,7.5,6875,7.916665,5,1.0,Escola Pública,Quartzo,3117,8.5,0.0,3.8,0.0,6.3,Não,3.8,5.0,2.0,6.042318760312152,Ágata,9.000020000000001,8.475473801560758,5.0,1.666666666666666,6.25,Não,7.444443333333333,5.0
Escola Pública,9,0,1J,Não,7.966668666666667,B,Ametista,8.000020000000001,8.5,7.5,7,7.5,7.833333333333333,10,1.0,Escola Pública,Ágata,6704,6.3,7.5,7.5,4.8,7.9,Não,7.8,5.0,1.0,7.475860455026456,Ametista,7.333340000000001,8.941798941798943,7.5,7.666666666666666,6.041666666666667,Não,7.833333333333333,5.0
Escola Pública,8,0,0F,Não,8.597919000000001,A,Topázio,9.000020000000001,10,7.5,8.5,7.8125,7.333335,10,1.0,Escola Pública,Ametista,8076,9.5,8.8,6.3,6.2,7.9,Não,8.6,10.0,1.0,7.105690655172413,Ametista,9.50002,8.903448275862068,5625,6.0,5625,Não,7.749995,5.0
Escola Pública,13,0,3B,Não,8.516877,A,Topázio,9.16668,9.6,7.5,8,7.96875,7.66667,10,4.0,Escola Pública,Quartzo,4956,10.0,1.1,7.5,2.8,6.7,Não,3.7,10.0,,,,,,,,,,,
Escola Pública,10,0,0H,Não,8.450002,B,Ametista,9.500020000000001,10,7.5,10,7.5,7.5,5,1.0,Escola Pública,Ametista,8242,10.0,7.9,7.5,7.9,8.3,Sim,10.0,5.0,,,,,,,,,,,
Escola Pública,14,0,3L,Não,6.8535425,C,Ágata,7.91667,7.7,7.5,4.5,7.96875,7.8750025,5,4.0,Escola Pública,Ametista,7222,8.3,8.1,7.5,6.0,8.4,Não,7.4,5.0,,,,,,,,,,,
Escola Pública,14,2,3H,Não,6.448887666666667,C,Ágata,7.91667,6.8,4375,5.333333333333333,7.708333333333334,7.611103333333333,5,4.0,Escola Pública,Ágata,6098,9.2,3.1,6.9,6.2,7.7,Não,6.9,5.0,,,,,,,,,,,
Escola Pública,11,1,1M,Não,7.693335000000001,B,Ametista,8.500020000000001,8.8,7.5,7.5,7.5,7.916665,5,2.0,Escola Pública,Ágata,6664,9.5,7.1,7.5,4.6,8.1,Não,6.6,5.0,3.0,6.40909040909091,Ágata,9.16668,6.253787878787879,5625,5.166666666666666,5625,Não,5.4166575,10.0
Escola Pública,15,1,4A,Não,5.331389333333334,D,Quartzo,9.16668,1.9,6875,5.166666666666667,7.916666666666667,5.111106666666666,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,10,0,1M,Não,8.032085,B,Ametista,8.000020000000001,8.9,7.5,9.5,7.1875,7.916665,5,2.0,Escola Pública,Ametista,7774,8.5,7.1,7.5,7.1,8.3,Não,7.6,10.0,,,,,,,,,,,
Escola Pública,8,1,1D,Não,8.342085,B,Ametista,8.500020000000001,7.7,7.5,10,7.1875,7.416665,10,1.0,Escola Pública,Topázio,8299,8.5,9.6,7.5,6.9,7.5,Não,8.2,10.0,1.0,8.334031111111113,Topázio,10.00002,8.38888888888889,7.5,9.416666666666668,6.5625,Sim,9.33334,5.0
Escola Pública,9,1,0A,Não,7.895835000000001,B,Ametista,9.000020000000001,10,8125,9.5,2.5,7.666665,5,1.0,Escola Pública,Ametista,7096,8.5,8.3,7.5,6.1,7.5,Não,6.8,5.0,,,,,,,,,,,
Escola Pública,10,0,1C,Não,7.187502,C,Ágata,9.000020000000001,9,7.5,5,7.708333333333334,7.333333333333333,5,2.0,Escola Pública,Ágata,6461,6.3,4.6,7.5,4.6,7.9,Não,7.2,10.0,,,,,,,,,,,
Escola Pública,9,1,0G,Não,5.854169000000001,D,Quartzo,7.4166799999999995,10,5625,5.5,2.5,3.500005,5,0.0,Escola Pública,Quartzo,5229,7.9,6.7,4.4,4.0,2.5,Não,5.6,5.0,0.0,7.00427655844156,Ágata,9.000020000000001,9.45887445887446,5625,6.083333333333333,5.0,Não,7.166665,5.0
Escola Pública,14,3,4F,Não,7.344792,B,Ametista,8.75001,6.5,7.5,6,8.28125,6.95833,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,10,1,0D,Não,8.428752,B,Ametista,10.000020000000001,9.8,7.5,10,7.1875,7.5,5,1.0,Escola Pública,Ametista,7990,9.5,9.6,7.5,7.1,7.7,Não,8.4,5.0,1.0,7.292060604010025,Ametista,8.000020000000001,9.116541353383456,6875,7.166666666666666,5.3125,Não,7.583335,5.0
Escola Pública,9,1,1A,Não,7.798752,B,Ametista,9.000020000000001,8.4,7.5,6.5,7.1875,7.25,10,1.0,Escola Pública,Ágata,5788,9.5,4.2,6.3,3.6,6.9,Não,7.3,5.0,1.0,5.262717116883117,Quartzo,9.000020000000001,4.75108225108225,5.0,2.416666666666667,5625,Não,6.833326666666666,5.0
Escola Pública,16,2,5A,Não,4.643056,D,Quartzo,7.5,4,4375,2,6.666666666666667,5.444446666666667,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,17,0,5L,Não,6.105834000000001,C,Ágata,9.16668,5.8,7.5,4.333333333333333,8125,5.499996666666667,5,,,,,,,,,,,,,,,,,,,,,,,
Rede Decisão/União,17,1,7B,Sim,8.345001166666666,B,Ametista,7.91667,9.1,7.5,7.333333333333333,7.5,8.8333375,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,9,2,1C,Não,6.385835333333334,C,Ágata,10.000020000000001,7.2,7.5,0,7.291666666666667,7.333333333333333,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,13,1,2C,Não,5.934724000000001,D,Quartzo,9.000020000000001,8,7.5,0,7.291666666666667,7.277776666666666,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,16,1,6B,Não,7.131667,C,Ágata,7.5,8.7,5625,3,8125,8.333335,10,7.0,Rede Decisão,Topázio,8360,8.8,8.1,6.9,7.4,8.3,Sim,9.4,10.0,,,,,,,,,,,
Escola Pública,11,1,1R,Não,8.238891333333333,B,Ametista,9.500020000000001,9.5,7.5,7.5,9.166666666666666,8.611113333333334,5,2.0,Rede Decisão,Topázio,9004,9.5,9.6,8.1,9.1,10.0,Sim,10.0,5.0,3.0,8.225582168498168,Topázio,8.33334,8.436240842490841,6875,7.900000000000001,8125,Não,8125,10.0
Rede Decisão/União,11,1,3B,Não,7.963542166666667,B,Ametista,6.24999,9,7.5,6.333333333333333,7.96875,8.6250075,10,3.0,Rede Decisão,Topázio,8672,8.8,8.3,7.5,8.0,8.3,Sim,9.8,10.0,4.0,7.618388587937373,Ametista,8.75001,7.806870995242416,5.0,7.644444444444443,7.03125,Não,7.2499975,10.0
Rede Decisão/União,13,3,4F,Sim,8.167711833333334,B,Ametista,10.000020000000001,9,7.5,4.666666666666667,8.59375,9.125007499999999,10,4.0,Rede Decisão,Topázio,8355,10.0,7.5,7.5,7.5,8.0,Sim,9.0,10.0,5.0,9.105280944444443,Topázio,10.00002,9.09722222222222,8125,8.700000000000001,8.75,Sim,9.2916725,10.0
Escola Pública,10,1,1M,Não,5.8845849999999995,D,Quartzo,8.500020000000001,7.1,7.5,0,7.8125,7.916665,5,1.0,Escola Pública,Quartzo,5163,9.5,2.9,7.5,1.5,8.1,Não,6.3,5.0,1.0,4.934497092833093,Quartzo,3.49998,3.797498797498797,7.5,3.75,6.25,Não,5.999996666666666,5.0
Rede Decisão/União,12,2,2J,Não,7.1105566666666675,C,Ágata,7.9166799999999995,8.9,7.5,5,6.666666666666667,8.11111,5,3.0,Rede Decisão,Ametista,7981,7.5,7.8,6.3,7.3,8.3,Não,8.8,10.0,4.0,7.535259906926407,Ametista,7.91667,8.159632034632034,5.0,6.599999999999999,7.5,Não,7.7083325,10.0
Escola Pública,10,1,1H,Não,7.177224000000001,C,Ágata,9.500020000000001,6.4,7.5,6.75,7.916666666666668,7.777776666666667,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,14,2,3E,Não,6.064722,D,Quartzo,9.16668,5.9,3.75,5,7.708333333333334,6.611103333333333,5,4.0,Escola Pública,Ágata,6056,8.3,6.1,6.9,4.5,6.9,Não,6.1,5.0,4.0,5.623852223240812,Quartzo,8.33334,4.747740005092947,5.0,4.111111111111112,7.1875,Não,6.49999,5.0
Escola Pública,10,2,1H,Não,4.478057333333334,D,Quartzo,8.000020000000001,2.3,5,0,7.291666666666667,7.444443333333333,5,,,,,,,,,,,,,,,,,,,,,,,
Estácio,18,4,8A,,8.891667,B,Ametista,7.91667,10,7.5,9,0,0,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,10,2,1B,Não,7.953752000000001,B,Ametista,8.500020000000001,8.8,7.5,8.5,8.4375,7.75,5,1.0,Escola Pública,Ametista,7531,8.5,10.0,7.5,6.6,7.5,Não,6.8,5.0,,,,,,,,,,,
Escola Pública,12,3,1G,Não,6.440002,C,Ágata,7.50002,8.2,5,6.25,2.5,7.75,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,10,1,1D,Não,7.708752,B,Ametista,9.500020000000001,8.7,7.5,7.5,7.1875,7.75,5,2.0,Escola Pública,Ametista,7125,9.5,5.8,7.5,5.9,7.5,Não,6.7,10.0,2.0,6.837216877492878,Ágata,8.500020000000001,7.304131054131053,7.5,5.75,6.041666666666667,Não,7.61111,5.0
Escola Pública,11,1,0G,Não,8.431252,B,Ametista,9.000020000000001,10,7.5,10,7.8125,7.5,5,1.0,Escola Pública,Ametista,7579,10.0,7.5,7.5,7.3,8.3,Não,7.7,5.0,1.0,8.18081096969697,Topázio,8.500020000000001,9.848484848484848,8125,8.416666666666668,6875,Sim,8.388893333333334,5.0
Escola Pública,11,1,1J,Não,8.082224,B,Ametista,10.000020000000001,8.8,7.5,8.5,7.5,8.11111,5,2.0,Escola Pública,Quartzo,3524,0.0,1.7,5.6,2.5,7.5,Não,4.4,5.0,2.0,6.434172224089636,Ágata,9.000020000000001,6.002801120448179,6.25,6.133333333333333,6.041666666666667,Não,6.888883333333332,5.0
Escola Pública,8,0,0E,Não,7.800001000000001,B,Ametista,9.000020000000001,10,5,10,2.5,5.749995,10,0.0,Escola Pública,Ametista,6898,8.5,10.0,4.4,6.1,5.3,Não,6.8,5.0,0.0,7.284936897435898,Ametista,9.50002,8.945512820512821,5.0,6.916666666666666,5625,Não,7.999995,5.0
Escola Pública,16,4,5G,Não,3.7383341666666663,D,Quartzo,7.91667,0.9,3125,2.8333333333333335,5625,4.1250025,5,5.0,Escola Pública,Ágata,6532,9.6,6.7,5.0,4.9,7.7,Não,7.5,5.0,,,,,,,,,,,
Einstein,15,3,5X,,7.921668,B,Ametista,9.16668,10,5625,7.2,0,0,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,11,2,0E,Não,7.862503,B,Ametista,9.000020000000001,10,8125,10,2.5,7.000005,5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,9,2,1H,Não,8.257224,B,Ametista,10.000020000000001,8.3,7.5,7.5,7.916666666666668,7.777776666666667,10,2.0,Escola Pública,Ametista,7896,8.5,9.2,7.5,5.6,7.5,Não,8.0,10.0,,,,,,,,,,,
Escola Pública,16,0,3J,Não,6.314166333333334,C,Ágata,8.75001,5.8,7.5,5.666666666666667,8125,6.66666,2.5,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,10,0,2G,Não,6.41389,C,Ágata,8.500020000000001,8,7.5,0,7.916666666666667,7.111106666666665,10,,,,,,,,,,,,,,,,,,,,,,,
Escola Pública,13,2,3C,Sim,7.744167,B,Ametista,7.08333,4.7,7.5,9,8125,8.66667,10,3.0,Escola Pública,Ágata,6435,7.1,5.8,7.5,4.7,8.1,Não,7.8,5.0,,,,,,,,,,,
